,activity,datetime
1,Sleep,12/14/2019 0:00
2,Sleep,12/14/2019 0:20
3,Sleep,12/14/2019 0:40
4,Sleep,12/14/2019 1:00
5,Sleep,12/14/2019 1:20
6,Sleep,12/14/2019 1:40
7,Sleep,12/14/2019 2:00
8,Sleep,12/14/2019 2:20
9,Sleep,12/14/2019 2:40
10,Sleep,12/14/2019 3:00
11,Sleep,12/14/2019 3:20
12,Sleep,12/14/2019 3:40
13,Sleep,12/14/2019 4:00
14,Sleep,12/14/2019 4:20
15,Sleep,12/14/2019 4:40
16,Sleep,12/14/2019 5:00
17,Sleep,12/14/2019 5:20
18,Sleep,12/14/2019 5:40
19,Sleep,12/14/2019 6:00
20,Sleep,12/14/2019 6:20
21,Sleep,12/14/2019 6:40
22,Sleep,12/14/2019 7:00
23,Sleep,12/14/2019 7:20
24,Sleep,12/14/2019 7:40
25,Misc,12/14/2019 8:00
26,Misc,12/14/2019 8:20
27,Food,12/14/2019 8:40
28,Food,12/14/2019 9:00
29,Study,12/14/2019 9:20
30,Waste,12/14/2019 9:40
31,Waste,12/14/2019 10:00
32,Waste,12/14/2019 10:20
33,Misc,12/14/2019 10:40
34,Misc,12/14/2019 11:00
35,Misc,12/14/2019 11:20
36,Misc,12/14/2019 11:40
37,Transportation,12/14/2019 12:00
38,Transportation,12/14/2019 12:20
39,Transportation,12/14/2019 12:40
40,Misc,12/14/2019 13:00
41,Misc,12/14/2019 13:20
42,Misc,12/14/2019 13:40
43,Misc,12/14/2019 14:00
44,Misc,12/14/2019 14:20
45,Misc,12/14/2019 14:40
46,Misc,12/14/2019 15:00
47,Misc,12/14/2019 15:20
48,Misc,12/14/2019 15:40
49,Misc,12/14/2019 16:00
50,Misc,12/14/2019 16:20
51,Misc,12/14/2019 16:40
52,Transportation,12/14/2019 17:00
53,Transportation,12/14/2019 17:20
54,Transportation,12/14/2019 17:40
55,Transportation,12/14/2019 18:00
56,Food,12/14/2019 18:20
57,Misc,12/14/2019 18:40
58,Misc,12/14/2019 19:00
59,Misc,12/14/2019 19:20
60,Misc,12/14/2019 19:40
61,Misc,12/14/2019 20:00
62,Misc,12/14/2019 20:20
63,Misc,12/14/2019 20:40
64,Misc,12/14/2019 21:00
65,Misc,12/14/2019 21:20
66,Misc,12/14/2019 21:40
67,Transportation,12/14/2019 22:00
68,Food,12/14/2019 22:20
69,Transportation,12/14/2019 22:40
70,Misc,12/14/2019 23:00
71,Misc,12/14/2019 23:20
72,Misc,12/14/2019 23:40
73,Misc,12/15/2019 0:00
74,Misc,12/15/2019 0:20
75,Misc,12/15/2019 0:40
76,Misc,12/15/2019 1:00
77,Misc,12/15/2019 1:20
78,Misc,12/15/2019 1:40
79,Misc,12/15/2019 2:00
80,Misc,12/15/2019 2:20
81,Misc,12/15/2019 2:40
82,Misc,12/15/2019 3:00
83,Misc,12/15/2019 3:20
84,Misc,12/15/2019 3:40
85,Misc,12/15/2019 4:00
86,Misc,12/15/2019 4:20
87,Misc,12/15/2019 4:40
88,Misc,12/15/2019 5:00
89,Misc,12/15/2019 5:20
90,Misc,12/15/2019 5:40
91,Misc,12/15/2019 6:00
92,Misc,12/15/2019 6:20
93,Transportation,12/15/2019 6:40
94,Transportation,12/15/2019 7:00
95,Transportation,12/15/2019 7:20
96,Misc,12/15/2019 7:40
97,Misc,12/15/2019 8:00
98,Food,12/15/2019 8:20
99,Food,12/15/2019 8:40
100,Waste,12/15/2019 9:00
101,Waste,12/15/2019 9:20
102,Waste,12/15/2019 9:40
103,Waste,12/15/2019 10:00
104,Waste,12/15/2019 10:20
105,Misc,12/15/2019 10:40
106,Misc,12/15/2019 11:00
107,Study,12/15/2019 11:20
108,Study,12/15/2019 11:40
109,Study,12/15/2019 12:00
110,Study,12/15/2019 12:20
111,Misc,12/15/2019 12:40
112,Misc,12/15/2019 13:00
113,Misc,12/15/2019 13:20
114,Misc,12/15/2019 13:40
115,Misc,12/15/2019 14:00
116,Food,12/15/2019 14:20
117,Waste,12/15/2019 14:40
118,Waste,12/15/2019 15:00
119,Waste,12/15/2019 15:20
120,Transportation,12/15/2019 15:40
121,Waste,12/15/2019 16:00
122,Waste,12/15/2019 16:20
123,Study,12/15/2019 16:40
124,Study,12/15/2019 17:00
125,Study,12/15/2019 17:20
126,Study,12/15/2019 17:40
127,Transportation,12/15/2019 18:00
128,Misc,12/15/2019 18:20
129,Misc,12/15/2019 18:40
130,Misc,12/15/2019 19:00
131,Waste,12/15/2019 19:20
132,Waste,12/15/2019 19:40
133,Misc,12/15/2019 20:00
134,Study,12/15/2019 20:20
135,Study,12/15/2019 20:40
136,Study,12/15/2019 21:00
137,Study,12/15/2019 21:20
138,Waste,12/15/2019 21:40
139,Misc,12/15/2019 22:00
140,Japanese,12/15/2019 22:20
141,Japanese,12/15/2019 22:40
142,Sleep,12/15/2019 23:00
143,Sleep,12/15/2019 23:20
144,Sleep,12/15/2019 23:40
145,Sleep,12/16/2019 0:00
146,Sleep,12/16/2019 0:20
147,Sleep,12/16/2019 0:40
148,Sleep,12/16/2019 1:00
149,Sleep,12/16/2019 1:20
150,Sleep,12/16/2019 1:40
151,Sleep,12/16/2019 2:00
152,Sleep,12/16/2019 2:20
153,Sleep,12/16/2019 2:40
154,Sleep,12/16/2019 3:00
155,Sleep,12/16/2019 3:20
156,Sleep,12/16/2019 3:40
157,Sleep,12/16/2019 4:00
158,Sleep,12/16/2019 4:20
159,Sleep,12/16/2019 4:40
160,Sleep,12/16/2019 5:00
161,Sleep,12/16/2019 5:20
162,Sleep,12/16/2019 5:40
163,Sleep,12/16/2019 6:00
164,Sleep,12/16/2019 6:20
165,Sleep,12/16/2019 6:40
166,Sleep,12/16/2019 7:00
167,Sleep,12/16/2019 7:20
168,Sleep,12/16/2019 7:40
169,Misc,12/16/2019 8:00
170,Study,12/16/2019 8:20
171,Study,12/16/2019 8:40
172,Study,12/16/2019 9:00
173,Misc,12/16/2019 9:20
174,Misc,12/16/2019 9:40
175,Transportation,12/16/2019 10:00
176,Study,12/16/2019 10:20
177,Misc,12/16/2019 10:40
178,Misc,12/16/2019 11:00
179,Misc,12/16/2019 11:20
180,Misc,12/16/2019 11:40
181,Japanese,12/16/2019 12:00
182,Study,12/16/2019 12:20
183,Study,12/16/2019 12:40
184,Study,12/16/2019 13:00
185,Transportation,12/16/2019 13:20
186,Transportation,12/16/2019 13:40
187,Misc,12/16/2019 14:00
188,Transportation,12/16/2019 14:20
189,Misc,12/16/2019 14:40
190,Misc,12/16/2019 15:00
191,Transportation,12/16/2019 15:20
192,Food,12/16/2019 15:40
193,Waste,12/16/2019 16:00
194,Waste,12/16/2019 16:20
195,Misc,12/16/2019 16:40
196,Misc,12/16/2019 17:00
197,Japanese,12/16/2019 17:20
198,Japanese,12/16/2019 17:40
199,Japanese,12/16/2019 18:00
200,Japanese,12/16/2019 18:20
201,Study,12/16/2019 18:40
202,Study,12/16/2019 19:00
203,Study,12/16/2019 19:20
204,Study,12/16/2019 19:40
205,Transportation,12/16/2019 20:00
206,Transportation,12/16/2019 20:20
207,Misc,12/16/2019 20:40
208,Study,12/16/2019 21:00
209,Study,12/16/2019 21:20
210,Study,12/16/2019 21:40
211,Study,12/16/2019 22:00
212,Study,12/16/2019 22:20
213,Study,12/16/2019 22:40
214,Study,12/16/2019 23:00
215,Study,12/16/2019 23:20
216,Study,12/16/2019 23:40
217,Study,12/17/2019 0:00
218,Misc,12/17/2019 0:20
219,Sleep,12/17/2019 0:40
220,Sleep,12/17/2019 1:00
221,Sleep,12/17/2019 1:20
222,Sleep,12/17/2019 1:40
223,Sleep,12/17/2019 2:00
224,Sleep,12/17/2019 2:20
225,Sleep,12/17/2019 2:40
226,Sleep,12/17/2019 3:00
227,Sleep,12/17/2019 3:20
228,Sleep,12/17/2019 3:40
229,Sleep,12/17/2019 4:00
230,Sleep,12/17/2019 4:20
231,Sleep,12/17/2019 4:40
232,Sleep,12/17/2019 5:00
233,Sleep,12/17/2019 5:20
234,Sleep,12/17/2019 5:40
235,Sleep,12/17/2019 6:00
236,Sleep,12/17/2019 6:20
237,Sleep,12/17/2019 6:40
238,Sleep,12/17/2019 7:00
239,Sleep,12/17/2019 7:20
240,Sleep,12/17/2019 7:40
241,Misc,12/17/2019 8:00
242,Misc,12/17/2019 8:20
243,Study,12/17/2019 8:40
244,Study,12/17/2019 9:00
245,Study,12/17/2019 9:20
246,Study,12/17/2019 9:40
247,Study,12/17/2019 10:00
248,Misc,12/17/2019 10:20
249,Japanese,12/17/2019 10:40
250,Japanese,12/17/2019 11:00
251,Misc,12/17/2019 11:20
252,Communication,12/17/2019 11:40
253,Misc,12/17/2019 12:00
254,Waste,12/17/2019 12:20
255,Transportation,12/17/2019 12:40
256,Japanese,12/17/2019 13:00
257,Misc,12/17/2019 13:20
258,Misc,12/17/2019 13:40
259,Misc,12/17/2019 14:00
260,Misc,12/17/2019 14:20
261,Japanese,12/17/2019 14:40
262,Japanese,12/17/2019 15:00
263,Transportation,12/17/2019 15:20
264,Transportation,12/17/2019 15:40
265,Food,12/17/2019 16:00
266,Food,12/17/2019 16:20
267,Waste,12/17/2019 16:40
268,Waste,12/17/2019 17:00
269,Waste,12/17/2019 17:20
270,Waste,12/17/2019 17:40
271,Waste,12/17/2019 18:00
272,Waste,12/17/2019 18:20
273,Study,12/17/2019 18:40
274,Study,12/17/2019 19:00
275,Transportation,12/17/2019 19:20
276,Misc,12/17/2019 19:40
277,Food,12/17/2019 20:00
278,Misc,12/17/2019 20:20
279,Waste,12/17/2019 20:40
280,Waste,12/17/2019 21:00
281,Waste,12/17/2019 21:20
282,Waste,12/17/2019 21:40
283,Waste,12/17/2019 22:00
284,Study,12/17/2019 22:20
285,Study,12/17/2019 22:40
286,Study,12/17/2019 23:00
287,Sleep,12/17/2019 23:20
288,Sleep,12/17/2019 23:40
289,Sleep,12/18/2019 0:00
290,Sleep,12/18/2019 0:20
291,Sleep,12/18/2019 0:40
292,Sleep,12/18/2019 1:00
293,Sleep,12/18/2019 1:20
294,Sleep,12/18/2019 1:40
295,Sleep,12/18/2019 2:00
296,Sleep,12/18/2019 2:20
297,Sleep,12/18/2019 2:40
298,Sleep,12/18/2019 3:00
299,Sleep,12/18/2019 3:20
300,Sleep,12/18/2019 3:40
301,Sleep,12/18/2019 4:00
302,Sleep,12/18/2019 4:20
303,Sleep,12/18/2019 4:40
304,Sleep,12/18/2019 5:00
305,Sleep,12/18/2019 5:20
306,Sleep,12/18/2019 5:40
307,Sleep,12/18/2019 6:00
308,Sleep,12/18/2019 6:20
309,Sleep,12/18/2019 6:40
310,Sleep,12/18/2019 7:00
311,Sleep,12/18/2019 7:20
312,Sleep,12/18/2019 7:40
313,Misc,12/18/2019 8:00
314,Misc,12/18/2019 8:20
315,Food,12/18/2019 8:40
316,Food,12/18/2019 9:00
317,Waste,12/18/2019 9:20
318,Waste,12/18/2019 9:40
319,Waste,12/18/2019 10:00
320,Waste,12/18/2019 10:20
321,Misc,12/18/2019 10:40
322,Misc,12/18/2019 11:00
323,Transportation,12/18/2019 11:20
324,Study,12/18/2019 11:40
325,Study,12/18/2019 12:00
326,Study,12/18/2019 12:20
327,Study,12/18/2019 12:40
328,Study,12/18/2019 13:00
329,Study,12/18/2019 13:20
330,Study,12/18/2019 13:40
331,Food,12/18/2019 14:00
332,Food,12/18/2019 14:20
333,Study,12/18/2019 14:40
334,Misc,12/18/2019 15:00
335,Misc,12/18/2019 15:20
336,Study,12/18/2019 15:40
337,Study,12/18/2019 16:00
338,Study,12/18/2019 16:20
339,Study,12/18/2019 16:40
340,Study,12/18/2019 17:00
341,Study,12/18/2019 17:20
342,Waste,12/18/2019 17:40
343,Waste,12/18/2019 18:00
344,Transportation,12/18/2019 18:20
345,Food,12/18/2019 18:40
346,Japanese,12/18/2019 19:00
347,Study,12/18/2019 19:20
348,Study,12/18/2019 19:40
349,Study,12/18/2019 20:00
350,Study,12/18/2019 20:20
351,Study,12/18/2019 20:40
352,Study,12/18/2019 21:00
353,Misc,12/18/2019 21:20
354,Transportation,12/18/2019 21:40
355,Transportation,12/18/2019 22:00
356,Misc,12/18/2019 22:20
357,Waste,12/18/2019 22:40
358,Waste,12/18/2019 23:00
359,Sleep,12/18/2019 23:20
360,Sleep,12/18/2019 23:40
361,Sleep,12/19/2019 0:00
362,Sleep,12/19/2019 0:20
363,Sleep,12/19/2019 0:40
364,Sleep,12/19/2019 1:00
